ID	File	Speaker	Adjective	Ethnicity	Gender	Age	Education	L1	Frequency	Function	Priming	Gradability	SemanticCategory	Emotionality	really	FileSpeaker
43211	DPC070	SA	hard	PAKEHA	Woman	20-29	University	ENGLISH	0.75408	Predicative	Prime	-3.66356164612965	PhysicalProperty	NonEmotional	really	DPC070SA
43236	DPC070	JM	large	PAKEHA	Woman	20-29	NoUniversity	ENGLISH	0.09426	Predicative	NoPrime	-0.266964602111705	Dimension	NonEmotional	really	DPC070JM
43258	DPC070	CR	tricky	PAKEHA	Woman	20-29	University	ENGLISH	0.01885	Attributive	NoPrime	1	Difficulty	NonEmotional	other	DPC070CR
43295	DPC070	JM	upset	PAKEHA	Woman	20-29	NoUniversity	ENGLISH	0.07541	Predicative	NoPrime	-2.09261073193945	HumanPropensity	NegativeEmotional	really	DPC070JM
43306	DPC070	JM	scary	PAKEHA	Woman	20-29	NoUniversity	ENGLISH	0.10369	Predicative	NoPrime	1	Other	NonEmotional	really	DPC070JM
43313	DPC070	CR	dangerous	PAKEHA	Woman	20-29	University	ENGLISH	0.05656	Predicative	Prime	-3.66356164612965	Other	NegativeEmotional	really	DPC070CR
43317	DPC070	JM	scary	PAKEHA	Woman	20-29	NoUniversity	ENGLISH	0.10369	Predicative	Prime	1	Other	NonEmotional	really	DPC070JM
43363	DPC070	JM	bizarre	PAKEHA	Woman	20-29	NoUniversity	ENGLISH	0.14139	Attributive	NoPrime	-2.36179382289028	Other	NegativeEmotional	really	DPC070JM
43366	DPC070	CR	bizarre	PAKEHA	Woman	20-29	University	ENGLISH	0.14139	Attributive	Prime	-0.743854416290448	Other	NegativeEmotional	really	DPC070CR
43428	DPC071	AY	good	PAKEHA	Woman	40-49	University	ENGLISH	3.54962	Attributive	NoPrime	-3.21956303481063	Value	PositiveEmotional	other	DPC071AY
43460	DPC071	AY	busy	PAKEHA	Woman	40-49	University	ENGLISH	0.14198	Predicative	NoPrime	-1.05320947233063	HumanPropensity	NonEmotional	really	DPC071AY
43484	DPC071	AY	good	PAKEHA	Woman	40-49	University	ENGLISH	3.54962	Predicative	NoPrime	-0.710305423450376	Value	PositiveEmotional	really	DPC071AY
43491	DPC071	AY	good	PAKEHA	Woman	40-49	University	ENGLISH	3.54962	Attributive	NoPrime	-0.218313914091959	Value	PositiveEmotional	really	DPC071AY
43545	DPC071	AY	useful	PAKEHA	Woman	40-49	University	ENGLISH	0.14198	Predicative	NoPrime	-0.58494345671335	Value	NonEmotional	other	DPC071AY
43575	DPC071	BE	neat	PAKEHA	Woman	16-19	NoUniversity	ENGLISH	0.12788	Attributive	NoPrime	-2.13407233761902	HumanPropensity	NonEmotional	really	DPC071BE
43589	DPC073	TM	quick	PAKEHA	Man	16-19	University	ENGLISH	0.12788	Predicative	NoPrime	0.359821651650547	Speed	NonEmotional	really	DPC073TM
43667	DPC073	JG	small	PAKEHA	Man	20-29	University	ENGLISH	0.20613	Attributive	NoPrime	-2.96788487486092	Dimension	NegativeEmotional	really	DPC073JG
43669	DPC073	JG	hopeless	PAKEHA	Man	20-29	University	ENGLISH	0.05153	Attributive	NoPrime	1	HumanPropensity	NegativeEmotional	other	DPC073JG
43759	DPC073	AM	reasonable	PAKEHA	Woman	20-29	University	ENGLISH	0.05656	Attributive	NoPrime	-3.66356164612965	HumanPropensity	NonEmotional	other	DPC073AM
43829	DPC073	AM	new	PAKEHA	Woman	20-29	University	ENGLISH	1.7061	Attributive	NoPrime	0.661965939542042	Age	NonEmotional	other	DPC073AM
43925	DPC074	LE	hard	PAKEHA	Woman	20-29	University	ENGLISH	0.6184	Attributive	NoPrime	0.773956761155819	PhysicalProperty	NonEmotional	really	DPC074LE
43926	DPC074	LE	good	PAKEHA	Woman	20-29	University	ENGLISH	6.08091	Attributive	Prime	0.058550857560419	Value	PositiveEmotional	really	DPC074LE
43945	DPC074	AD	amazing	PAKEHA	Man	20-29	University	ENGLISH	0.39589	Attributive	NoPrime	1	Value	NonEmotional	really	DPC074AD
43947	DPC074	AD	good	PAKEHA	Man	20-29	University	ENGLISH	6.89038	Attributive	Prime	0.661971673767462	Value	PositiveEmotional	really	DPC074AD
43964	DPC074	AD	funny	PAKEHA	Man	20-29	University	ENGLISH	1.13112	Attributive	NoPrime	0.683045896167949	HumanPropensity	NonEmotional	really	DPC074AD
43986	DPC074	AD	hard	PAKEHA	Man	20-29	University	ENGLISH	0.75408	Predicative	NoPrime	-3.27925274750556	PhysicalProperty	NonEmotional	really	DPC074AD
43987	DPC074	AD	simple	PAKEHA	Man	20-29	University	ENGLISH	0.07541	Predicative	NoPrime	-0.337986189363401	Difficulty	NonEmotional	other	DPC074AD
43989	DPC074	AD	hard	PAKEHA	Man	20-29	University	ENGLISH	0.75408	Predicative	Prime	-2.4963715814826	PhysicalProperty	NonEmotional	really	DPC074AD
44000	DPC074	AD	easy	PAKEHA	Man	20-29	University	ENGLISH	0.30163	Attributive	NoPrime	-0.322193867722756	Difficulty	NonEmotional	really	DPC074AD
44034	DPC074	LE	mental	PAKEHA	Woman	20-29	University	ENGLISH	0.02577	Predicative	NoPrime	-3.66356164612965	Other	NonEmotional	other	DPC074LE
44048	DPC074	LE	heavy	PAKEHA	Woman	20-29	University	ENGLISH	0.05153	Attributive	NoPrime	-2.83420893808882	PhysicalProperty	NonEmotional	other	DPC074LE
44072	DPC074	AD	dumb	PAKEHA	Man	20-29	University	ENGLISH	0.05656	Attributive	NoPrime	-3.66356164612965	HumanPropensity	NegativeEmotional	really	DPC074AD
44074	DPC074	AD	curious	PAKEHA	Man	20-29	University	ENGLISH	0.0377	Predicative	NoPrime	-3.66356164612965	HumanPropensity	NonEmotional	other	DPC074AD
44075	DPC074	AD	stupid	PAKEHA	Man	20-29	University	ENGLISH	0.31106	Attributive	Prime	-3.66356164612965	HumanPropensity	NegativeEmotional	really	DPC074AD
44268	DPC075	FN	keen	PAKEHA	Woman	30-39	NoUniversity	ENGLISH	0.09848	Predicative	NoPrime	-2.39237728290092	HumanPropensity	NonEmotional	other	DPC075FN
44302	DPC075	FN	quiet	PAKEHA	Woman	30-39	NoUniversity	ENGLISH	0.21666	Attributive	NoPrime	-3.66356164612965	PhysicalProperty	PositiveEmotional	really	DPC075FN
